assessmentid,empid,courseid,skillid,assessment_score,max_score,due_date,test_taken,test_completed
14,10,6,11,70,100,2024-12-31,2024-11-01,2024-11-15
15,10,6,12,65,100,2024-12-31,2024-11-05,2024-11-20

16,11,7,14,92,100,2024-12-31,2024-11-02,2024-11-20
17,12,8,16,90,100,2024-12-31,2024-11-05,2024-11-21

18,13,9,19,78,100,2024-12-31,2024-11-01,2024-11-15
19,14,9,20,75,100,2024-12-31,2024-11-03,2024-11-17

20,15,10,22,88,100,2024-12-31,2024-11-01,2024-11-15
21,16,11,25,80,100,2024-12-31,2024-11-05,2024-11-20

22,17,12,27,95,100,2024-12-31,2024-11-01,2024-11-15
23,18,13,29,90,100,2024-12-31,2024-11-02,2024-11-20
24,1,2,2,89,100,2024-12-31,2024-11-10,2024-11-20
25,2,3,4,74,100,2024-12-31,2024-11-15,2024-11-25
26,3,4,6,81,100,2024-12-31,2024-11-20,2024-11-30

27,4,5,9,77,100,2024-12-31,2024-11-01,2024-11-10
28,5,6,11,83,100,2024-12-31,2024-11-02,2024-11-12

29,6,7,14,79,100,2024-12-31,2024-11-03,2024-11-18
30,7,8,16,91,100,2024-12-31,2024-11-04,2024-11-21

31,8,9,19,88,100,2024-12-31,2024-11-05,2024-11-22
32,9,10,20,73,100,2024-12-31,2024-11-06,2024-11-25

33,10,11,21,86,100,2024-12-31,2024-11-07,2024-11-23
34,11,12,24,90,100,2024-12-31,2024-11-08,2024-11-24

35,12,13,27,94,100,2024-12-31,2024-11-09,2024-11-29
36,13,14,28,76,100,2024-12-31,2024-11-10,2024-11-25

37,14,15,29,82,100,2024-12-31,2024-11-11,2024-11-26
38,15,16,30,80,100,2024-12-31,2024-11-12,2024-11-27

39,16,17,26,89,100,2024-12-31,2024-11-13,2024-11-28
40,17,18,25,78,100,2024-12-31,2024-11-14,2024-11-29

41,18,19,23,85,100,2024-12-31,2024-11-15,2024-11-30
42,19,20,22,93,100,2024-12-31,2024-11-16,2024-12-01
43,1,3,5,87,100,2024-12-31,2024-11-15,2024-11-25
44,2,2,4,80,100,2024-12-31,2024-11-20,2024-11-30
45,3,1,1,91,100,2024-12-31,2024-11-25,2024-12-01

46,4,4,6,76,100,2024-12-31,2024-11-05,2024-11-20
47,5,5,8,84,100,2024-12-31,2024-11-10,2024-11-21

48,6,6,12,70,100,2024-12-31,2024-11-12,2024-11-22
49,7,7,15,92,100,2024-12-31,2024-11-20,2024-11-28

50,8,8,16,95,100,2024-12-31,2024-11-03,2024-11-18
51,9,9,19,82,100,2024-12-31,2024-11-07,2024-11-23

52,10,10,21,79,100,2024-12-31,2024-11-11,2024-11-26
53,11,11,24,90,100,2024-12-31,2024-11-15,2024-11-30

54,12,12,25,75,100,2024-12-31,2024-11-16,2024-12-01
55,13,13,28,88,100,2024-12-31,2024-11-17,2024-12-02

56,14,14,29,93,100,2024-12-31,2024-11-18,2024-12-03
57,15,15,30,77,100,2024-12-31,2024-11-19,2024-12-04

58,16,16,26,81,100,2024-12-31,2024-11-20,2024-12-05
59,17,17,27,89,100,2024-12-31,2024-11-21,2024-12-06

60,18,18,23,78,100,2024-12-31,2024-11-22,2024-12-07
61,19,19,22,85,100,2024-12-31,2024-11-23,2024-12-08
