empID,courseID,skillID,skillCategory,assessmentID,assessment_score,max_score,due_date,test_taken,test_completed
9,17,77,Data Skills,177,87,100,2025-05-15,2025-05-12,2025-05-14
9,18,78,Web Development,178,75,100,2025-05-20,2025-05-17,2025-05-19
10,19,79,Soft Skills,179,91,100,2025-05-25,2025-05-22,2025-05-24
10,20,80,Technical Skills,180,89,100,2025-05-30,2025-05-27,2025-05-29
11,21,81,Data Science,181,73,100,2025-06-04,2025-06-01,2025-06-03
11,22,82,Management Skills,182,86,100,2025-06-09,2025-06-06,2025-06-08
12,23,83,Web Development,183,80,100,2025-06-14,2025-06-11,2025-06-13
12,24,84,Soft Skills,184,92,100,2025-06-19,2025-06-16,2025-06-18
13,25,85,Technical Skills,185,77,100,2025-06-24,2025-06-21,2025-06-23
13,26,86,Data Skills,186,89,100,2025-06-29,2025-06-26,2025-06-28
14,27,87,Management Skills,187,74,100,2025-07-04,2025-07-01,2025-07-03
14,28,88,Web Development,188,82,100,2025-07-09,2025-07-06,2025-07-08
15,29,89,Data Science,189,91,100,2025-07-14,2025-07-11,2025-07-13
15,30,90,Soft Skills,190,88,100,2025-07-19,2025-07-16,2025-07-18
16,1,91,Data Skills,191,95,100,2025-07-24,2025-07-21,2025-07-23
16,2,92,Management Skills,192,82,100,2025-07-29,2025-07-26,2025-07-28
17,3,93,Web Development,193,80,100,2025-08-03,2025-07-31,2025-08-02
17,4,94,Soft Skills,194,78,100,2025-08-08,2025-08-05,2025-08-07
18,5,95,Technical Skills,195,90,100,2025-08-13,2025-08-10,2025-08-12
18,6,96,Data Science,196,85,100,2025-08-18,2025-08-15,2025-08-17
19,7,97,Programming Languages,197,92,100,2025-08-23,2025-08-20,2025-08-22
19,8,98,Management Skills,198,76,100,2025-08-28,2025-08-25,2025-08-27
20,9,99,Web Development,199,89,100,2025-09-02,2025-08-30,2025-09-01
20,10,100,Technical Skills,200,83,100,2025-09-07,2025-09-04,2025-09-06
21,11,101,Data Skills,201,75,100,2025-09-12,2025-09-09,2025-09-11
21,12,102,Soft Skills,202,94,100,2025-09-17,2025-09-14,2025-09-16
22,13,103,Management Skills,203,81,100,2025-09-22,2025-09-19,2025-09-21
22,14,104,Web Development,204,87,100,2025-09-27,2025-09-24,2025-09-26
23,15,105,Technical Skills,205,88,100,2025-10-02,2025-09-29,2025-10-01
23,16,106,Data Science,206,93,100,2025-10-07,2025-10-04,2025-10-06
24,17,107,Programming Languages,207,79,100,2025-10-12,2025-10-09,2025-10-11
24,18,108,Soft Skills,208,82,100,2025-10-17,2025-10-14,2025-10-16
25,19,109,Management Skills,209,84,100,2025-10-22,2025-10-19,2025-10-21
25,20,110,Web Development,210,91,100,2025-10-27,2025-10-24,2025-10-26
26,21,111,Data Skills,211,78,100,2025-11-01,2025-10-29,2025-10-31
26,22,112,Technical Skills,212,85,100,2025-11-06,2025-11-03,2025-11-05
27,23,113,Management Skills,213,90,100,2025-11-11,2025-11-08,2025-11-10
27,24,114,Technical Skills,214,83,100,2025-11-16,2025-11-13,2025-11-15
28,25,115,Web Development,215,75,100,2025-11-21,2025-11-18,2025-11-20
28,26,116,Data Skills,216,89,100,2025-11-26,2025-11-23,2025-11-25
29,27,117,Soft Skills,217,92,100,2025-12-01,2025-11-29,2025-11-30
29,28,118,Data Science,218,84,100,2025-12-06,2025-12-03,2025-12-05
30,29,119,Technical Skills,219,88,100,2025-12-11,2025-12-08,2025-12-10
30,30,120,Management Skills,220,79,100,2025-12-16,2025-12-13,2025-12-15
1,1,121,Web Development,221,91,100,2025-12-21,2025-12-18,2025-12-20
1,2,122,Soft Skills,222,82,100,2025-12-26,2025-12-23,2025-12-25
2,3,123,Data Skills,223,76,100,2026-01-01,2025-12-30,2026-01-01
2,4,124,Technical Skills,224,93,100,2026-01-06,2026-01-03,2026-01-05
3,5,125,Management Skills,225,87,100,2026-01-11,2026-01-08,2026-01-10
3,6,126,Web Development,226,80,100,2026-01-16,2026-01-13,2026-01-15
4,7,127,Data Science,227,75,100,2026-01-21,2026-01-18,2026-01-20
4,8,128,Technical Skills,228,90,100,2026-01-26,2026-01-23,2026-01-25
5,9,129,Soft Skills,229,84,100,2026-01-31,2026-01-28,2026-01-30
5,10,130,Management Skills,230,88,100,2026-02-05,2026-02-02,2026-02-04
6,11,131,Web Development,231,92,100,2026-02-10,2026-02-07,2026-02-09
6,12,132,Data Skills,232,81,100,2026-02-15,2026-02-12,2026-02-14
7,13,133,Technical Skills,233,78,100,2026-02-20,2026-02-17,2026-02-19
7,14,134,Soft Skills,234,94,100,2026-02-25,2026-02-22,2026-02-24
8,15,135,Management Skills,235,80,100,2026-03-02,2026-02-28,2026-03-01
8,16,136,Web Development,236,82,100,2026-03-07,2026-03-04,2026-03-06
